Type,CurrentGen,Arch,CpuCores,CpuThreadsPerCore,VCpu,GpuCount,GpuName,MemoryMiB,EbsOnly,InstanceStorage,NetPerf,EbsBwMbps,HasGPU,USDPerHr
c8gn.12xlarge,True,arm64,48,1,48,,,98304,default,,150 Gigabit,30000.0,False,2.844
c8i-flex.16xlarge,True,x86_64,32,2,64,,,131072,default,,Up to 30 Gigabit,10000.0,False,2.84864
c7i.16xlarge,True,x86_64,32,2,64,,,131072,default,,25 Gigabit,20000.0,False,2.856
c7gd.metal,True,arm64,64,1,64,,,131072,default,3800.0,30 Gigabit,20000.0,False,2.903
c7gd.16xlarge,True,arm64,64,1,64,,,131072,default,3800.0,30 Gigabit,20000.0,False,2.903
c7gn.12xlarge,True,arm64,48,1,48,,,98304,default,,150 Gigabit,25000.0,False,2.9952
c8i.16xlarge,True,x86_64,32,2,64,,,131072,default,,30 Gigabit,20000.0,False,2.99872
c5.18xlarge,True,x86_64,36,2,72,,,147456,default,,25 Gigabit,19000.0,False,3.06
c8gd.16xlarge,True,arm64,64,1,64,,,131072,default,3800.0,30 Gigabit,20000.0,False,3.13536
c6id.16xlarge,True,x86_64,32,2,64,,,131072,default,3800.0,25 Gigabit,20000.0,False,3.2256
c7a.16xlarge,True,x86_64,64,1,64,,,131072,default,,25 Gigabit,20000.0,False,3.28448
c8a.16xlarge,True,x86_64,64,1,64,,,131072,default,,30 Gigabit,20000.0,False,3.44864
c5d.18xlarge,True,x86_64,36,2,72,,,147456,default,1800.0,25 Gigabit,19000.0,False,3.456
c6in.16xlarge,True,x86_64,32,2,64,,,131072,default,,100 Gigabit,50000.0,False,3.6288
c6a.24xlarge,True,x86_64,48,2,96,,,196608,default,,37.5 Gigabit,30000.0,False,3.672
c5a.24xlarge,True,x86_64,48,2,96,,,196608,default,,20 Gigabit,9500.0,False,3.696
c8gn.16xlarge,True,arm64,64,1,64,,,131072,default,,200 Gigabit,40000.0,False,3.792
c8gb.16xlarge,True,arm64,64,1,64,,,131072,default,,133.33 Gigabit,100000.0,False,3.792
c8g.metal-24xl,True,arm64,96,1,96,,,196608,default,,40 Gigabit,30000.0,False,3.82848
c8g.24xlarge,True,arm64,96,1,96,,,196608,default,,40 Gigabit,30000.0,False,3.82848
c5n.18xlarge,True,x86_64,36,2,72,,,196608,default,,100 Gigabit,19000.0,False,3.888
c5n.metal,True,x86_64,36,2,72,,,196608,default,,100 Gigabit,19000.0,False,3.888
c7gn.16xlarge,True,arm64,64,1,64,,,131072,default,,200 Gigabit,33333.0,False,3.9936
c7gn.metal,True,arm64,64,1,64,,,131072,default,,200 Gigabit,33333.0,False,3.9936
c5.metal,True,x86_64,48,2,96,,,196608,default,,25 Gigabit,19000.0,False,4.08
c5.24xlarge,True,x86_64,48,2,96,,,196608,default,,25 Gigabit,19000.0,False,4.08
c6i.24xlarge,True,x86_64,48,2,96,,,196608,default,,37.5 Gigabit,30000.0,False,4.08
c5ad.24xlarge,True,x86_64,48,2,96,,,196608,default,3800.0,20 Gigabit,9500.0,False,4.128
c7i.24xlarge,True,x86_64,48,2,96,,,196608,default,,37.5 Gigabit,30000.0,False,4.284
c7i.metal-24xl,True,x86_64,48,2,96,,,196608,default,,37.5 Gigabit,30000.0,False,4.284
c8i.24xlarge,True,x86_64,48,2,96,,,196608,default,,40 Gigabit,30000.0,False,4.49808
c5d.24xlarge,True,x86_64,48,2,96,,,196608,default,3600.0,25 Gigabit,19000.0,False,4.608
c5d.metal,True,x86_64,48,2,96,,,196608,default,3600.0,25 Gigabit,19000.0,False,4.608
c8gd.24xlarge,True,arm64,96,1,96,,,196608,default,5700.0,40 Gigabit,30000.0,False,4.70304
c8gd.metal-24xl,True,arm64,96,1,96,,,196608,default,5700.0,40 Gigabit,30000.0,False,4.70304
c6id.24xlarge,True,x86_64,48,2,96,,,196608,default,5700.0,37.5 Gigabit,30000.0,False,4.8384
c6a.32xlarge,True,x86_64,64,2,128,,,262144,default,,50 Gigabit,40000.0,False,4.896
c7a.24xlarge,True,x86_64,96,1,96,,,196608,default,,37.5 Gigabit,30000.0,False,4.92672
c8a.metal-24xl,True,x86_64,96,1,96,,,196608,default,,40 Gigabit,30000.0,False,5.17296
c8a.24xlarge,True,x86_64,96,1,96,,,196608,default,,40 Gigabit,30000.0,False,5.17296
c6i.metal,True,x86_64,64,2,128,,,262144,default,,50 Gigabit,40000.0,False,5.44
c6i.32xlarge,True,x86_64,64,2,128,,,262144,default,,50 Gigabit,40000.0,False,5.44
c6in.24xlarge,True,x86_64,48,2,96,,,196608,default,,150 Gigabit,75000.0,False,5.4432
c8gb.24xlarge,True,arm64,96,1,96,,,196608,default,,200 Gigabit,150000.0,False,5.688
c8gn.metal-24xl,True,arm64,96,1,96,,,196608,default,,300 Gigabit,60000.0,False,5.688
c8gb.metal-24xl,True,arm64,96,1,96,,,196608,default,,200 Gigabit,150000.0,False,5.688
c8gn.24xlarge,True,arm64,96,1,96,,,196608,default,,300 Gigabit,60000.0,False,5.688
c8i.32xlarge,True,x86_64,64,2,128,,,262144,default,,50 Gigabit,40000.0,False,5.99744
c6id.metal,True,x86_64,64,2,128,,,262144,default,7600.0,50 Gigabit,40000.0,False,6.4512
c6id.32xlarge,True,x86_64,64,2,128,,,262144,default,7600.0,50 Gigabit,40000.0,False,6.4512
c7a.32xlarge,True,x86_64,128,1,128,,,262144,default,,50 Gigabit,40000.0,False,6.56896
c6in.32xlarge,True,x86_64,64,2,128,,,262144,default,,200 Gigabit,100000.0,False,7.2576
c6in.metal,True,x86_64,64,2,128,,,262144,default,,200 Gigabit,100000.0,False,7.2576
c6a.48xlarge,True,x86_64,96,2,192,,,393216,default,,50 Gigabit,40000.0,False,7.344
c6a.metal,True,x86_64,96,2,192,,,393216,default,,50 Gigabit,40000.0,False,7.344
c8g.metal-48xl,True,arm64,192,1,192,,,393216,default,,50 Gigabit,40000.0,False,7.65696
c8g.48xlarge,True,arm64,192,1,192,,,393216,default,,50 Gigabit,40000.0,False,7.65696
c7i.48xlarge,True,x86_64,96,2,192,,,393216,default,,50 Gigabit,40000.0,False,8.568
c7i.metal-48xl,True,x86_64,96,2,192,,,393216,default,,50 Gigabit,40000.0,False,8.568
c8i.48xlarge,True,x86_64,96,2,192,,,393216,default,,75 Gigabit,60000.0,False,8.99616
c8i.metal-48xl,True,x86_64,96,2,192,,,393216,default,,75 Gigabit,60000.0,False,8.99616
c8gd.48xlarge,True,arm64,192,1,192,,,393216,default,11400.0,50 Gigabit,40000.0,False,9.40608
c8gd.metal-48xl,True,arm64,192,1,192,,,393216,default,11400.0,50 Gigabit,40000.0,False,9.40608
c7a.metal-48xl,True,x86_64,192,1,192,,,393216,default,,50 Gigabit,40000.0,False,9.85344
c7a.48xlarge,True,x86_64,192,1,192,,,393216,default,,50 Gigabit,40000.0,False,9.85344
c8a.48xlarge,True,x86_64,192,1,192,,,393216,default,,75 Gigabit,60000.0,False,10.34592
c8a.metal-48xl,True,x86_64,192,1,192,,,393216,default,,75 Gigabit,60000.0,False,10.34592
c8gn.metal-48xl,True,arm64,192,1,192,,,393216,default,,600 Gigabit,60000.0,False,11.376
c8gn.48xlarge,True,arm64,192,1,192,,,393216,default,,600 Gigabit,60000.0,False,11.376
c8i.metal-96xl,True,x86_64,192,2,384,,,786432,default,,100 Gigabit,80000.0,False,17.99232
c8i.96xlarge,True,x86_64,192,2,384,,,786432,default,,100 Gigabit,80000.0,False,17.99232
